iter	RMSE
0	0.5961966967
1	0.565100632
2	0.5374043313
3	0.5141767126
4	0.4938457127
5	0.4771037876
6	0.4623924069
7	0.4499406039
8	0.4399490683
9	0.431225588
10	0.4235432898
11	0.4170613612
12	0.4115065965
13	0.4069285746
14	0.4030793129
15	0.3996408493
16	0.3966300915
17	0.394069554
18	0.3917965243
19	0.3899420207
20	0.3882509676
21	0.3866709017
22	0.3851944457
23	0.3839976072
24	0.3829206915
25	0.3819610879
26	0.3809482502
27	0.380120434
28	0.3793749028
29	0.3787334907
30	0.3781292318
31	0.3774584988
32	0.376924373
33	0.3764630946
34	0.375959773
35	0.375568954
36	0.3750801096
37	0.3747438629
38	0.3745179561
39	0.3742073906
40	0.3738394782
41	0.3735334711
42	0.3732901625
43	0.3730455851
44	0.3727725921
45	0.3725974052
46	0.3723597357
47	0.3721349731
48	0.3720011114
49	0.3718649593
50	0.37162642
51	0.3714953411
52	0.3713198868
53	0.3711810593
54	0.3710146566
55	0.3708495602
56	0.3706199345
57	0.3705070326
58	0.3703753299
59	0.3701347859
60	0.3700100663
61	0.3698699266
62	0.3697890141
63	0.3696797603
64	0.3695794995
65	0.3693981476
66	0.3692534771
67	0.3691740246
68	0.3690597068
69	0.3690061732
70	0.3689234435
71	0.3688573931
72	0.3687584937
73	0.3686829785
74	0.3685607554
75	0.3684981576
76	0.368423229
77	0.3683516458
78	0.3681972274
79	0.3680718087
80	0.3679446288
81	0.3678233542
82	0.3677230096
83	0.3676693277
84	0.3675975821
85	0.3675136639
86	0.3674370421
87	0.3673121715
88	0.3672554127
89	0.3671872974
90	0.3670564505
91	0.366954475
92	0.3668091518
93	0.3667337287
94	0.3666983708
95	0.3666225228
96	0.3664889717
97	0.3664143015
98	0.3663245311
99	0.3662655626
100	0.3662120374
101	0.366152013
102	0.3660919784
103	0.3660224139
104	0.3659571457
105	0.3658955216
106	0.3658481838
107	0.3658125034
108	0.3657169018
109	0.3656704385
110	0.3656169756
111	0.365560108
112	0.3654885778
113	0.365417609
114	0.3653414901
115	0.3652759658
116	0.365194604
117	0.3651233856
118	0.3650475849
119	0.3649945049
120	0.3649103454
121	0.3648720801
122	0.364817587
123	0.3647172937
124	0.3646685894
125	0.3646116341
126	0.3645999509
127	0.3645535192
128	0.3644720118
129	0.364422811
130	0.3643729329
131	0.3643179313
132	0.3642977375
133	0.3642422109
134	0.3642021573
135	0.3641319602
136	0.364100362
137	0.3640484395
138	0.3639974441
139	0.3639433265
140	0.3638770137
141	0.3638744416
142	0.3637733583
143	0.3637309435
144	0.3637022127
145	0.3636697956
146	0.3636223315
147	0.3635310115
148	0.363528467
149	0.3635268441
