iter	Passed	Remaining
0	295	294781
1	446	222989
2	569	189425
3	710	177030
4	850	169226
5	988	163723
6	1098	155839
7	1244	154310
8	1371	151020
9	1508	149372
10	1654	148787
11	1813	149275
12	1944	147625
13	2074	146080
14	2230	146500
15	2347	144358
16	2473	143004
17	2601	141910
18	2729	140919
19	2890	141657
20	3032	141373
21	3126	138970
22	3217	136660
23	3338	135754
24	3474	135517
25	3631	136054
26	3777	136135
27	3911	135798
28	4043	135374
29	4172	134915
30	4303	134529
31	4432	134092
32	4572	133979
33	4711	133850
34	4855	133871
35	4988	133593
36	5154	134147
37	5303	134252
38	5453	134389
39	5611	134666
40	5766	134880
41	5925	135167
42	6061	134911
43	6218	135107
44	6358	134934
45	6510	135032
46	6655	134947
47	6810	135079
48	6950	134887
49	7082	134559
50	7243	134787
51	7380	134548
52	7532	134596
53	7689	134701
54	7832	134580
55	7981	134549
56	8133	134555
57	8279	134466
58	8418	134272
59	8585	134504
60	8727	134346
61	8861	134070
62	9016	134107
63	9169	134107
64	9329	134206
65	9493	134351
66	9640	134241
67	9767	133873
68	9921	133862
69	10064	133714
70	10192	133358
71	10328	133128
72	10480	133084
73	10626	132972
74	10764	132765
75	10910	132651
76	11059	132564
77	11224	132673
78	11360	132442
79	11515	132432
80	11673	132446
81	11783	131913
82	11896	131436
83	11992	130772
84	12100	130261
85	12213	129803
86	12344	129543
87	12461	129146
88	12649	129475
89	12800	129430
90	12977	129628
91	13113	129420
92	13234	129071
93	13354	128718
94	13487	128482
95	13603	128103
96	13731	127829
97	13862	127592
98	13987	127299
99	14096	126870
100	14218	126559
101	14371	126525
102	14512	126386
103	14644	126165
104	14793	126100
105	14931	125934
106	15048	125595
107	15192	125480
108	15319	125226
109	15434	124876
110	15614	125058
111	15752	124893
112	15884	124682
113	16071	124903
114	16229	124894
115	16371	124764
116	16499	124523
117	16634	124338
118	16771	124166
119	16902	123952
120	17054	123894
121	17191	123723
122	17305	123392
123	17444	123236
124	17590	123130
125	17708	122837
126	17841	122640
127	17989	122555
128	18128	122400
129	18273	122293
130	18416	122167
131	18541	121927
132	18688	121826
133	18834	121719
134	18956	121460
135	19106	121384
136	19228	121123
137	19341	120811
138	19470	120602
139	19609	120458
140	19768	120432
141	19924	120385
142	20117	120563
143	20343	120932
144	20542	121132
145	20737	121298
146	20953	121587
147	21164	121839
148	21385	122142
149	21596	122380
150	21733	122195
151	21861	121965
152	21978	121670
